Ref;Project name;Country;Date online;Decomission date;Status;Technology;Technology_details;Technology_electricity;Technology_electricity_details;Product;Refining;Ammonia;Methanol;Iron&Steel;Other Ind;Mobility;Power;Grid inj.;CHP;Domestic heat;Biofuels;Synfuels;CH4 grid inj.;CH4 mobility;Announced Size;MWel;Nm³ H?/h;kt H2/y;t CO? captured/y;"IEA zero-carbon estimated normalized capacity
[Nm³ H?/hour]";LOWE_CF
3;H2GO Energy Park Oude-Tonge - 1st phase;NLD;2023;;FID/Construction;Other Electrolysis;Unknown PtX;Dedicated renewable;Others/Various;H2;;;;;;1;;;;;;;;;2.5MW;2,5;556;0,4;;556;0,5
4;H2GO Energy Park Oude-Tonge - 2nd phase;NLD;2030;;Concept;Other Electrolysis;Unknown PtX;Dedicated renewable;Others/Various;H2;;;;;;1;;;;;;;;;26MW;23,5;5222;4,1;;5222;0,5
5;NortH2, phase 1;NLD;2030;;Feasibility study;Other Electrolysis;Unknown PtX;Dedicated renewable;Offshore wind;H2;1;;;;1;;;;;;;;;;4GW;4000;888889;693,0;;888889;0,55
6;Norsk e-Fuel Phase 1;NOR;2026;;FID/Construction;SOEC;;Dedicated renewable;Others/Various;Synfuels;;;;;;;;;;;;1;;;12.5 million litres of synthetic kerosene per year production;50,26358319;13227;10,3;;13227;0,5
7;Norsk e-Fuel Phase 2;NOR;2026;;Feasibility study;SOEC;;Dedicated renewable;Others/Various;Synfuels;;;;;;;;;;;;1;;;25 million litres of synthetic kerosene per year production;50,26358319;13227;10,3;;13227;0,5
8;HYBRIT pilot;SWE;2021;;Operational;ALK;;Grid;;H2;;;;1;;;;;;;;;;;4.5MW;4,5;978;0,8;;978;0,57
9;HYBRIT demo;SWE;2025;;FID/Construction;ALK;;Grid;;H2;;;;1;;;;;;;;;;;500 MW - 1.3 Mt DRI;500,0;108696;84,7;;108696;0,57
10;Iberdrola - Puertollano I;ESP;2022;;Operational;PEM;;Dedicated renewable;Solar PV;Ammonia;;1;;;;;;;;;;;;;20 MW;20;3846;3,0;;3846;0,3
11;Green Hysland Mallorca - Phase 1;ESP;2022;;Operational;PEM;;Dedicated renewable;Solar PV;H2;;;;;;1;;1;;;;;;;2.5 MW;2,5;481;0,4;;481;0,3
12;Power to Green H2 Mallorca (GREEN HYSLAND) - Phase 2;ESP;2025;;FID/Construction;Other Electrolysis;Unknown PtX;Dedicated renewable;Solar PV;H2;;;;;;1;;1;;;;;;;10;7,5;1667;1,3;;1667;0,3
14;CRI project in Norway;NOR;2025;;Feasibility study;Other Electrolysis;Unknown PtX;Grid;;MeOH;;;1;;;;;;;;;;;;100000 t MeOH/y production;194;43053;33,6;;43053;0,57
15;ARIES project;USA;2022;;DEMO;PEM;;Other/unknown;;H2;;;;;;;;;;;;;;;1 MW;1;192;0,1;;192;0,57
16;Fukushima Hydrogen Energy Research Field;JPN;2020;2023;Operational;ALK;;Dedicated renewable;Solar PV;H2;;;;;;1;1;;;;;;;;10 MW;10;2174;1,7;;2174;0,3
17;Hydrospider - St Gallen;CHE;2020;;Operational;PEM;;Dedicated renewable;Hydropower;H2;;;;;;1;;;;;;;;;2 MW;2;385;0,3;;385;0,8
18;Apex Energy, Rostock-Laage;DEU;2021;;Operational;ALK;;Grid;;H2;;;;;;1;;;1;;;;;;2 MW;2;435;0,3;;435;0,57
19;Leuchtturmprojekt Power-to-Gas Baden-Württemberg;DEU;2020;;Operational;PEM;;Dedicated renewable;Hydropower;H2;;;;;;1;;;;;;;;;1.3 MW;1,3;250;0,2;;250;0,8
20;eFarm (5 production sites in North Frisia);DEU;2020;;Operational;PEM;;Dedicated renewable;Onshore wind;H2;;;;;;1;;;;;;;;;1.125 MW;1,125;216;0,2;;216;0,4
22;Hydrogen plant - Orkney Islands - BIG HIT 2n phase;GBR;2019;;Operational;PEM;;Dedicated renewable;Onshore wind;H2;;;;;;1;1;1;;1;;;;;1 MW;1;192;0,1;;192;0,4
23;Wyhlen hydroelectric power plant;DEU;2020;;Operational;ALK;;Dedicated renewable;Hydropower;H2;;;;;;;1;;;;;;;;1.3 MW;1,3;283;0,2;;283;0,8
24;GrInHy2.0;DEU;2020;;Operational;SOEC;;Grid;;H2;;;;1;;;;;;;;;;;0.7 MW - 200 Nm3 H2/h;0,7;200;0,2;;200;0,57
25;Power2Met;DNK;2020;;Operational;Other Electrolysis;Unknown PtX;Grid;;MeOH;;;1;;;;;;;;;;;;0.25 MW - 50 Nm3 H2/h;0,25;50;0,0;;50;0,57
26;REMOTE - Norway;NOR;2020;2022;Decommisioned;PEM;;Dedicated renewable;Others/Various;H2;;;;;;;1;;;;;;;;50 kW;;;;;0;0,5
27;H2One - Toranomon Hills Business Tower;JPN;2020;;Operational;PEM;;Grid;;H2;;;;;;;1;;;;;;;;1 Nm3/h;0,0052;1;0,0;;1;0,57
28;H2One - Toyama City Environment Center ;JPN;2020;;Operational;PEM;;Grid;;H2;;;;;;;1;;;;;;;;1 Nm3/h;0,0052;1;0,0;;1;0,57
